Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
AUR,4.78,Put,4,2026-09-18T16:30:00-05:00,210,"0.00 x 0","2.85 x 1",0.6,637,mid,38200,637,4855,74.58%,-0.2656769088,AUTO,N/A,"09:30:00 ET"
INTC,43.5801,Call,80,2026-07-17T16:30:00-05:00,147,"0.00 x 0","0.78 x 512",0.75,400,mid,30000,400,2981,64.32%,0.10358457580194,SLAN,N/A,"09:30:00 ET"
AUR,4.78,Put,4,2026-06-18T16:30:00-05:00,118,"0.00 x 0","5.00 x 2",0.45,340,mid,15300,340,666,81.10%,-0.2617276423,AUTO,N/A,"09:30:01 ET"
META,639.05,Put,620,2026-02-20T16:30:00-06:00,0,"0.45 x 4","0.55 x 1",0.47,300,mid,14100,301,6236,40.66%,-0.0739573402,MLET,N/A,"09:30:01 ET"
META,639.05,Put,615,2026-02-20T16:30:00-06:00,0,"0.23 x 2","0.33 x 3",0.31,300,mid,9300,337,1838,42.17%,-0.0387668647,MLET,N/A,"09:30:01 ET"
PLUG,1.88,Call,2,2026-02-27T16:30:00-06:00,7,"0.0000 x 0","0.0700 x 6",0.07,4445,ask,31100,4451,5582,91.66%,0.33777036520245,SLAN,N/A,"09:30:01 ET"
AAL,13.35,Call,12,2026-03-20T16:30:00-05:00,28,"1.70 x 44","2.75 x 7",1.72,181,mid,31100,181,3751,63.35%,0.75605173703439,AUTO,N/A,"09:30:01 ET"
AMD,200.28,Call,310,2026-03-20T16:30:00-05:00,28,"0.01 x 256","0.14 x 1",0.1,553,mid,5500,941,7731,63.75%,0.0089008447093004,AUTO,N/A,"09:30:01 ET"
OPEN,5.2125,Put,5,2026-02-20T16:30:00-06:00,0,"0.02 x 46","0.06 x 3",0.05,1013,mid,5000,5190,18260,177.29%,-0.308936166,AUTO,N/A,"09:30:01 ET"
SNAP,4.94,Call,20,2027-01-15T16:30:00-06:00,329,"0.06 x 3","0.16 x 10",0.09,1000,mid,9000,1000,42624,78.36%,0.071610979761575,AUTO,N/A,"09:30:01 ET"
PLTR,132.148,Call,137,2026-02-20T16:30:00-06:00,0,"0.24 x 600","0.24 x 441",0.24,600,ask,14400,897,4323,48.78%,0.079839720130239,AUTO,N/A,"09:30:01 ET"
IBRX,8.4714,Call,9,2026-02-20T16:30:00-06:00,0,"0.20 x 772","0.40 x 1",0.2,772,bid,15400,816,17108,227.24%,0.32533139111213,AUTO,N/A,"09:30:01 ET"
NOW,106.12,Call,150,2028-01-21T16:30:00-06:00,700,"16.00 x 10","19.40 x 130",18.9,130,mid,245700,130,882,50.12%,0.47799505707586,AUTO,N/A,"09:30:01 ET"
RIVN,15.255,Put,14,2026-05-15T16:30:00-05:00,84,"1.43 x 101","1.44 x 172",1.44,101,ask,14500,200,831,73.49%,-0.3302696483,AUTO,N/A,"09:30:01 ET"
AGI,46.2801,Call,35,2026-03-20T16:30:00-05:00,28,"10.70 x 27","11.00 x 2",11,156,ask,171600,381,9444,69.18%,0.94134752651225,AUTO,N/A,"09:30:02 ET"
OPEN,5.2125,Call,5,2026-02-20T16:30:00-06:00,0,"0.47 x 21","0.50 x 496",0.5,496,ask,24800,6460,30752,118.95%,0.75990168147526,AUTO,N/A,"09:30:02 ET"
OSCR,13.45,Call,40,2028-01-21T16:30:00-06:00,700,"2.20 x 106","3.75 x 1",2.2,106,bid,23300,111,36031,82.49%,0.37280996236821,AUTO,N/A,"09:30:02 ET"
GME,23.55,Put,24,2026-02-20T16:30:00-06:00,0,"0.25 x 1","0.50 x 200",0.5,200,ask,10000,222,3684,48.59%,-0.7702031702,AUTO,N/A,"09:30:02 ET"
OXY,51.73,Call,50,2026-04-17T16:30:00-05:00,56,"2.41 x 1","3.75 x 71",3.72,142,mid,52800,155,6097,31.69%,0.6385078019298,AUTO,N/A,"09:30:02 ET"
RIG,6.29,Call,6,2026-02-20T16:30:00-06:00,0,"0.10 x 1","0.60 x 1",0.21,400,mid,8400,488,8821,86.18%,0.85886238296134,AUTO,N/A,"09:30:02 ET"
JOBY,10.075,Call,12,2026-03-13T16:30:00-05:00,21,"0.15 x 10","0.48 x 6",0.32,350,mid,11200,350,86,94.68%,0.25874233638584,AUTO,ToOpen,"09:30:03 ET"
TEM,61,Call,80,2026-03-20T16:30:00-05:00,28,"0.83 x 13","1.58 x 13",1,200,mid,20000,209,3665,84.84%,0.15277842959163,AUTO,N/A,"09:30:03 ET"
OWL,10.64,Put,10.5,2026-02-20T16:30:00-06:00,0,"0.00 x 0","1.20 x 8",0.1,1000,mid,10000,1178,1235,120.33%,-0.4046126149,AUTO,N/A,"09:30:03 ET"
LAR,6.94,Call,7.5,2026-03-20T16:30:00-05:00,28,"0.40 x 5","0.90 x 1",0.5,274,mid,13700,274,559,93.00%,0.43577662073078,AUTO,N/A,"09:30:03 ET"
INTC,43.63,Put,48,2026-02-20T16:30:00-06:00,0,"4.20 x 1000","5.45 x 1",4.2,1000,bid,420000,1100,7470,129.22%,-0.9174887728,AUTO,N/A,"09:30:03 ET"
XRAY,12.435,Put,12.5,2026-03-20T16:30:00-05:00,28,"0.45 x 24","0.85 x 5",0.8,200,mid,16000,200,2573,55.44%,-0.4838165804,AUTO,N/A,"09:30:03 ET"
VIPS,17.37,Put,17,2026-03-20T16:30:00-05:00,28,"0.45 x 25","0.80 x 200",0.8,200,ask,16000,200,433,49.42%,-0.4222635474,AUTO,N/A,"09:30:03 ET"
CIFR,15.525,Call,21,2026-03-20T16:30:00-05:00,28,"0.40 x 286","0.76 x 21",0.6,200,mid,12000,200,19960,120.28%,0.23212048426657,AUTO,N/A,"09:30:03 ET"
WULF,15.16,Call,17.5,2026-02-27T16:30:00-06:00,7,"0.10 x 75","0.40 x 125",0.4,125,ask,5000,125,1202,139.05%,0.25151558243049,AUTO,N/A,"09:30:04 ET"
GRAL,49.4,Put,45,2026-02-20T16:30:00-06:00,0,"0.65 x 1","1.00 x 200",1,200,ask,20000,338,7,250.47%,-0.2169220347,AUTO,BuyToOpen,"09:30:04 ET"
HELE,18.545,Put,35,2026-05-15T16:30:00-05:00,84,"14.20 x 40","18.80 x 20",16.42,126,mid,206800,132,14,77.48%,-0.957553317,TLET,ToOpen,"09:30:04 ET"
VERI,2.94,Call,5,2027-01-15T16:30:00-06:00,329,"0.80 x 5","1.50 x 174",0.8,250,bid,20000,250,1964,114.14%,0.53253128158995,AUTO,N/A,"09:30:05 ET"
XOM,150.07,Call,160,2026-03-20T16:30:00-05:00,28,"1.65 x 79","2.37 x 96",2.03,500,mid,101400,1029,11846,31.56%,0.247374020116,AUTO,N/A,"09:30:05 ET"
AG,25.73,Call,24,2026-02-20T16:30:00-06:00,0,"1.08 x 1","1.35 x 30",1.17,120,mid,14000,154,5510,106.29%,0.90142436545606,AUTO,N/A,"09:30:05 ET"
AMZN,203.97,Call,210,2026-02-20T16:30:00-06:00,0,"0.10 x 8","0.12 x 140",0.12,595,ask,7100,686,40278,35.95%,0.061157855024447,SLAN,N/A,"09:30:06 ET"
HIMS,15.8301,Put,15,2026-02-27T16:30:00-06:00,7,"0.94 x 767","0.97 x 111",0.97,111,ask,10700,134,2635,153.86%,-0.3586265661,AUTO,N/A,"09:30:07 ET"
HPQ,18.41,Call,25,2026-12-18T16:30:00-06:00,301,"0.80 x 138","1.03 x 95",0.9,200,mid,18000,200,321,42.93%,0.25030184867108,MLET,N/A,"09:30:07 ET"
HPQ,18.41,Call,25,2027-01-15T16:30:00-06:00,329,"0.86 x 105","1.09 x 79",0.98,200,mid,19600,200,1171,42.71%,0.26064236901064,MLET,N/A,"09:30:07 ET"
AMKR,48.09,Call,50,2026-02-20T16:30:00-06:00,0,"0.25 x 200","0.30 x 16",0.25,200,bid,5000,266,1173,81.23%,0.18408963743581,AUTO,N/A,"09:30:08 ET"
CRCL,61.88,Put,50,2026-02-27T16:30:00-06:00,7,"0.30 x 51","0.47 x 200",0.47,200,ask,9400,219,2119,123.52%,-0.0908391553,AUTO,N/A,"09:30:08 ET"
TSLA,407.865,Call,435,2026-02-27T16:30:00-06:00,7,"1.38 x 4","1.45 x 14",1.45,498,ask,72200,1539,14558,40.18%,0.13195998000505,AUTO,N/A,"09:30:09 ET"
TSLA,407.865,Call,435,2026-02-27T16:30:00-06:00,7,"1.38 x 8","1.45 x 28",1.45,467,ask,67700,1539,14558,40.18%,0.13195998000505,AUTO,N/A,"09:30:09 ET"
AAL,13.35,Call,13,2026-03-20T16:30:00-05:00,28,"1.07 x 1017","1.06 x 35",1.06,124,ask,13100,180,15402,60.71%,0.59560475983463,AUTO,N/A,"09:30:09 ET"
NAT,4.85,Put,5,2026-04-17T16:30:00-05:00,56,"0.10 x 1670","0.50 x 1100",0.5,1100,ask,55000,1100,1240,51.81%,-0.530525305,AUTO,N/A,"09:30:10 ET"
OPEN,5.2125,Put,5,2026-02-27T16:30:00-06:00,7,"0.10 x 450","0.11 x 488",0.11,488,ask,5300,871,1925,104.85%,-0.3581636638,AUTO,N/A,"09:30:10 ET"
ARBE,1.135,Call,2,2026-08-21T16:30:00-05:00,182,"0.1500 x 10","0.2000 x 1548",0.2,1548,ask,30900,1548,1979,123.85%,0.42462126847594,AUTO,N/A,"09:30:10 ET"
INTC,43.63,Call,49,2026-02-27T16:30:00-06:00,7,"0.16 x 394","0.20 x 275",0.2,275,ask,5500,325,1871,65.38%,0.10902581189815,AUTO,N/A,"09:30:10 ET"
FLNG,27.44,Call,28,2026-05-15T16:30:00-05:00,84,"0.60 x 10","1.20 x 16",0.95,120,mid,11400,120,440,25.87%,0.4179975079176,AUTO,N/A,"09:30:10 ET"
LI,18.01,Call,20,2026-03-20T16:30:00-05:00,28,"0.40 x 200","0.50 x 13",0.4,200,bid,8000,200,5079,52.98%,0.26700152282725,ISOI,N/A,"09:30:11 ET"
AAPL,259.32,Put,250,2026-02-20T16:30:00-06:00,0,"0.10 x 3065","0.12 x 242",0.1,811,bid,8100,4094,17203,36.64%,-0.0264157139,AUTO,N/A,"09:30:11 ET"
AAPL,259.32,Put,247.5,2026-02-20T16:30:00-06:00,0,"0.05 x 5","0.06 x 315",0.05,1913,bid,9500,4069,2088,41.63%,-0.0149657752,AUTO,N/A,"09:30:11 ET"
MARA,7.905,Call,7.5,2026-02-20T16:30:00-06:00,0,"0.40 x 5","0.49 x 12",0.45,120,mid,5400,245,20686,78.08%,0.90642595178727,MLET,N/A,"09:30:12 ET"
NBIS,105.205,Call,107,2026-02-27T16:30:00-06:00,7,"6.00 x 150","6.25 x 34",6,150,bid,90000,160,396,100.26%,0.48109053070593,AUTO,N/A,"09:30:13 ET"
PLTR,132.148,Put,130,2026-02-20T16:30:00-06:00,0,"1.01 x 49","1.10 x 31",1.01,213,bid,21500,1669,11644,54.08%,-0.2741110038,ISOI,N/A,"09:30:13 ET"
WMT,122.565,Put,125,2026-02-20T16:30:00-06:00,0,"2.28 x 1","2.36 x 190",2.36,387,ask,91300,2796,11863,32.16%,-0.8787939926,AUTO,N/A,"09:30:14 ET"
U,18.12,Put,19,2026-02-20T16:30:00-06:00,0,"1.19 x 998","1.35 x 318",1.19,998,bid,118700,2508,2876,153.33%,-0.7104333247,AUTO,N/A,"09:30:14 ET"
MSFT,395.68,Put,400,2026-02-20T16:30:00-06:00,0,"4.80 x 41","5.00 x 320",5,320,ask,160000,2264,9206,26.95%,-0.7781219857,AUTO,N/A,"09:30:14 ET"
BAC,52.4481,Call,65,2027-01-15T16:30:00-06:00,329,"0.71 x 482","2.49 x 41",1.69,169,mid,28500,169,9906,26.34%,0.2437736355672,SLAN,N/A,"09:30:14 ET"
U,18.12,Put,19,2026-02-20T16:30:00-06:00,0,"1.20 x 500","1.35 x 286",1.2,500,bid,60000,2508,2876,153.33%,-0.7104333247,AUTO,N/A,"09:30:14 ET"
OPEN,5.2125,Call,7,2026-03-06T16:30:00-06:00,14,"0.12 x 41","0.15 x 1",0.13,505,mid,6500,1095,2819,114.37%,0.11542306463283,AUTO,N/A,"09:30:14 ET"
PBR,15.71,Call,19,2026-03-20T16:30:00-05:00,28,"0.07 x 1015","0.10 x 1015",0.07,1015,bid,7100,1016,1907,45.20%,0.071961462916293,AUTO,N/A,"09:30:15 ET"
AMD,201.12,Put,202.5,2026-02-20T16:30:00-06:00,0,"3.35 x 842","3.85 x 28",3.3,261,bid,86100,381,5365,44.71%,-0.6101163396,AUTO,N/A,"09:30:15 ET"
FNKO,4.925,Call,5,2026-03-20T16:30:00-05:00,28,"0.35 x 513","0.90 x 20",0.68,125,mid,8500,150,6615,152.75%,0.57236648903786,MLET,N/A,"09:30:17 ET"
HOOD,77.16,Call,160,2026-07-17T16:30:00-05:00,147,"0.41 x 2263","0.74 x 185",0.74,185,ask,13600,185,1077,65.92%,0.066997907172606,AUTO,N/A,"09:30:17 ET"
WMT,122.565,Put,125,2026-02-20T16:30:00-06:00,0,"2.18 x 1","2.45 x 340",2.45,364,ask,89100,2796,11863,32.16%,-0.8787939926,AUTO,N/A,"09:30:17 ET"
SNDL,1.5306,Put,1.5,2028-01-21T16:30:00-06:00,700,"0.0000 x 0","0.5000 x 20",0.4,200,mid,8000,200,8359,56.89%,-0.3216843104,AUTO,N/A,"09:30:18 ET"
NVO,47.58,Call,47,2026-02-20T16:30:00-06:00,0,"0.00 x 0","2.17 x 101",0.97,159,mid,15400,559,2390,52.96%,0.67708348571975,MLET,N/A,"09:30:19 ET"
NVO,47.58,Call,46.5,2026-02-20T16:30:00-06:00,0,"0.96 x 98","1.50 x 44",1.37,159,mid,21700,559,760,59.06%,0.77745837933032,MLET,N/A,"09:30:19 ET"
UBS,42.44,Call,42.5,2026-04-17T16:30:00-05:00,56,"1.90 x 672","2.05 x 672",2.05,672,ask,137700,677,10,30.72%,0.52563643773751,AUTO,BuyToOpen,"09:30:19 ET"
OWL,10.64,Put,8,2026-04-17T16:30:00-05:00,56,"0.25 x 400","0.75 x 384",0.25,200,bid,5000,200,7,75.52%,-0.1363190438,AUTO,SellToOpen,"09:30:19 ET"
KTOS,103.15,Call,95,2026-02-20T16:30:00-06:00,0,"9.20 x 23","11.80 x 10",11.28,110,mid,124000,211,762,167.32%,0.83925943442635,SLAN,N/A,"09:30:20 ET"
OXY,51.73,Call,80,2027-01-15T16:30:00-06:00,329,"1.02 x 200","1.20 x 46",1.12,200,mid,22400,410,16342,35.05%,0.13426266282255,SLAN,N/A,"09:30:20 ET"
DBRG,15.43,Call,15,2028-01-21T16:30:00-06:00,700,"0.40 x 2","5.00 x 2",1.45,114,mid,16500,997,1199,4.32%,0.93326222720632,AUTO,N/A,"09:30:21 ET"
DBRG,15.43,Call,15,2028-01-21T16:30:00-06:00,700,"0.40 x 2","1.95 x 1",1.35,882,mid,119000,997,1199,4.32%,0.93326222720632,AUTO,N/A,"09:30:21 ET"
TSLA,407.865,Call,500,2026-04-02T16:30:00-05:00,41,"2.13 x 154","2.20 x 1385",2.2,1385,ask,304700,7645,9580,41.14%,0.084090277671367,AUTO,N/A,"09:30:23 ET"
GME,23.705,Call,25,2026-03-20T16:30:00-05:00,28,"0.71 x 29","0.71 x 81",0.71,163,ask,11500,338,23252,52.13%,0.37761663312249,AUTO,N/A,"09:30:24 ET"
OPEN,5.2125,Call,5.5,2026-02-20T16:30:00-06:00,0,"0.13 x 1","0.15 x 900",0.15,413,ask,6100,6594,23155,149.01%,0.25671738463489,SLAN,N/A,"09:30:25 ET"
GOSS,2.0795,Call,2,2026-02-20T16:30:00-06:00,0,"0.05 x 1120","0.35 x 2",0.35,200,ask,7000,502,8027,186.53%,0.67425982252729,MLET,N/A,"09:30:25 ET"
BP,38.07,Put,39,2026-07-17T16:30:00-05:00,147,"2.65 x 7","3.85 x 8",3.05,500,mid,152500,500,150,27.17%,-0.5235016691,SLFT,ToOpen,"09:30:26 ET"
U,18.12,Put,19,2026-02-20T16:30:00-06:00,0,"1.18 x 275","1.34 x 337",1.18,485,bid,57200,2508,2876,153.33%,-0.7104333247,ISOI,N/A,"09:30:26 ET"
ONDS,11.02,Call,12.5,2026-03-06T16:30:00-06:00,14,"0.56 x 846","0.56 x 346",0.56,346,ask,19300,931,2572,124.03%,0.34764765394037,AUTO,N/A,"09:30:26 ET"
GOOGL,306.93,Call,325,2026-03-06T16:30:00-06:00,14,"1.41 x 84","1.44 x 350",1.44,350,ask,50400,352,1457,31.36%,0.18949843873455,AUTO,N/A,"09:30:27 ET"
U,18.12,Put,19,2026-02-20T16:30:00-06:00,0,"1.21 x 511","1.29 x 349",1.21,511,bid,61800,2508,2876,153.33%,-0.7104333247,AUTO,N/A,"09:30:27 ET"
GOOGL,306.93,Put,270,2026-03-20T16:30:00-05:00,28,"1.93 x 93","1.94 x 166",1.93,363,bid,70000,868,9318,39.14%,-0.1040655015,AUTO,N/A,"09:30:30 ET"
OXY,51.73,Call,65,2026-06-18T16:30:00-05:00,118,"0.80 x 250","0.99 x 544",0.8,170,bid,13600,1105,1982,36.18%,0.1630892826119,AUTO,N/A,"09:30:30 ET"
PANW,152.3875,Put,125,2026-06-18T16:30:00-05:00,118,"3.40 x 610","4.00 x 400",4,400,ask,160000,400,238,44.64%,-0.1714357984,AUTO,BuyToOpen,"09:30:31 ET"
OPEN,5.2125,Call,5,2026-02-20T16:30:00-06:00,0,"0.41 x 108","0.44 x 1",0.41,910,bid,37300,6460,30752,118.95%,0.75990168147526,AUTO,N/A,"09:30:32 ET"
GOSS,2.0795,Call,2,2026-02-20T16:30:00-06:00,0,"0.05 x 1925","0.35 x 2",0.35,200,ask,7000,502,8027,186.53%,0.67425982252729,MLET,N/A,"09:30:33 ET"
OWL,10.64,Put,10,2026-02-20T16:30:00-06:00,0,"0.05 x 1019","0.10 x 3669",0.09,1000,mid,9000,12476,1978,181.85%,-0.2411040736,SLAN,N/A,"09:30:34 ET"
OWL,10.64,Put,10,2026-02-20T16:30:00-06:00,0,"0.05 x 999","0.10 x 3669",0.09,688,mid,6100,12476,1978,181.85%,-0.2411040736,SLAN,N/A,"09:30:36 ET"
JD,26.785,Call,30,2026-04-17T16:30:00-05:00,56,"0.37 x 2384","0.74 x 2245",0.55,200,mid,11000,204,5096,41.04%,0.23618804808635,AUTO,N/A,"09:30:36 ET"
ONDS,11.02,Call,12,2026-03-20T16:30:00-05:00,28,"1.20 x 2501","1.38 x 384",1.3,608,mid,79000,660,55441,131.56%,0.48245079776671,SLAN,N/A,"09:30:38 ET"
OWL,10.64,Put,10,2026-02-20T16:30:00-06:00,0,"0.05 x 91","0.10 x 3669",0.1,996,ask,9900,12476,1978,181.85%,-0.2411040736,SLAN,N/A,"09:30:38 ET"
TSLA,407.865,Call,500,2026-04-02T16:30:00-05:00,41,"2.20 x 1","2.43 x 93",2.16,993,bid,214400,7645,9580,41.14%,0.084090277671367,AUTO,N/A,"09:30:39 ET"
SSRM,29.39,Call,25,2026-03-20T16:30:00-05:00,28,"4.60 x 193","4.80 x 100",4.8,300,ask,144000,312,10496,69.10%,0.82883208311565,AUTO,N/A,"09:30:39 ET"
INTC,43.63,Call,44,2026-02-20T16:30:00-06:00,0,"0.28 x 2","0.41 x 486",0.28,707,bid,19700,1531,12185,49.54%,0.37727491364196,AUTO,N/A,"09:30:40 ET"
INTC,43.63,Call,45,2027-12-17T16:30:00-06:00,665,"14.00 x 250","14.35 x 601",14,500,bid,700000,500,4222,61.79%,0.65409580193647,AUTO,N/A,"09:30:42 ET"
WMT,122.565,Put,125,2026-02-20T16:30:00-06:00,0,"2.21 x 63","2.34 x 289",2.34,289,ask,67600,2796,11863,32.16%,-0.8787939926,AUTO,N/A,"09:30:43 ET"
WMT,122.565,Put,125,2026-02-20T16:30:00-06:00,0,"2.21 x 101","2.43 x 272",2.43,272,ask,66000,2796,11863,32.16%,-0.8787939926,AUTO,N/A,"09:30:46 ET"
ACB,3.85,Put,4,2026-02-20T16:30:00-06:00,0,"0.25 x 225","0.30 x 334",0.28,199,mid,5500,243,1627,215.35%,-0.6121826348,AUTO,N/A,"09:30:46 ET"
AG,25.73,Call,25,2026-02-20T16:30:00-06:00,0,"0.33 x 1816","0.55 x 200",0.55,200,ask,11000,457,12194,86.10%,0.74790577971139,AUTO,N/A,"09:30:47 ET"
CDE,24.346,Call,22.5,2026-05-15T16:30:00-05:00,84,"4.40 x 1347","4.80 x 65",4.7,343,mid,161200,343,12533,83.03%,0.65382015889649,AUTO,N/A,"09:30:48 ET"
OPEN,5.2125,Call,5,2026-03-20T16:30:00-05:00,28,"0.71 x 1762","0.71 x 145",0.71,394,ask,27900,1332,9881,85.10%,0.62031667793324,AUTO,N/A,"09:30:48 ET"
OPEN,5.2125,Call,4.5,2026-02-20T16:30:00-06:00,0,"0.88 x 3066","0.92 x 36",0.92,220,ask,20200,1639,11931,0.00%,0,AUTO,N/A,"09:30:49 ET"
PLTR,132.148,Put,130,2026-02-20T16:30:00-06:00,0,"0.87 x 48","0.96 x 37",0.94,347,mid,32600,1669,11644,54.08%,-0.2741110038,SLAN,N/A,"09:30:49 ET"
CELH,47.075,Call,48,2026-02-20T16:30:00-06:00,0,"0.64 x 12","0.76 x 300",0.76,900,ask,68400,966,413,111.59%,0.38020298934317,AUTO,BuyToOpen,"09:30:49 ET"
NVDA,187.72,Put,177.5,2026-02-20T16:30:00-06:00,0,"0.08 x 1880","0.09 x 90",0.08,1481,bid,11800,4035,22995,55.17%,-0.0244078847,AUTO,N/A,"09:30:50 ET"
BP,38.07,Call,36,2026-04-17T16:30:00-05:00,56,"3.00 x 239","3.20 x 231",3.2,231,ask,73900,231,1312,35.63%,0.67435037841121,AUTO,N/A,"09:30:51 ET"
NEM,124.42,Call,110,2026-02-20T16:30:00-06:00,0,"11.15 x 677","14.50 x 4",13.4,450,mid,603000,458,2009,228.32%,0.86396271953129,AUTO,N/A,"09:30:51 ET"
WMT,122.565,Put,125,2026-02-20T16:30:00-06:00,0,"2.35 x 128","2.46 x 315",2.46,315,ask,77400,2796,11863,32.16%,-0.8787939926,AUTO,N/A,"09:30:52 ET"
SOFI,19.08,Put,19.5,2026-02-20T16:30:00-06:00,0,"0.57 x 588","0.62 x 34",0.61,166,mid,10100,209,6651,70.77%,-0.7163525901,AUTO,N/A,"09:30:53 ET"
HOOD,77.16,Call,77,2026-02-20T16:30:00-06:00,0,"0.44 x 909","0.53 x 1",0.53,300,ask,15900,1572,7999,61.59%,0.53345034908012,AUTO,N/A,"09:30:53 ET"
SOFI,19.08,Call,19,2026-02-27T16:30:00-06:00,7,"0.63 x 27","0.80 x 568",0.65,200,mid,13000,237,731,63.01%,0.53974418756292,AUTO,N/A,"09:30:55 ET"
GOOGL,306.93,Put,270,2026-03-20T16:30:00-05:00,28,"1.89 x 68","1.95 x 129",1.89,208,bid,39300,868,9318,39.14%,-0.1040655015,AUTO,N/A,"09:30:57 ET"
DOMO,3.705,Put,4,2026-02-20T16:30:00-06:00,0,"0.00 x 0","0.40 x 1",0.4,248,ask,9900,260,58,278.75%,-0.6758482116,AUTO,BuyToOpen,"09:30:58 ET"
OWL,10.64,Put,11.5,2026-02-27T16:30:00-06:00,7,"0.90 x 751","0.95 x 545",0.9,545,bid,49000,765,1131,81.99%,-0.7362934713,AUTO,N/A,"09:30:58 ET"
SATS,113.57,Call,115,2026-02-20T16:30:00-06:00,0,"0.35 x 50","2.15 x 108",1,150,mid,15000,150,2020,68.01%,0.36930588970548,AUTO,N/A,"09:30:59 ET"
NIO,4.9186,Call,6,2026-05-15T16:30:00-05:00,84,"0.25 x 386","0.29 x 902",0.29,490,ask,14200,492,30561,66.40%,0.33071595839747,SLAN,N/A,"09:31:00 ET"
OXY,51.73,Call,65,2026-06-18T16:30:00-05:00,118,"0.80 x 250","0.98 x 1188",0.8,250,bid,20000,1105,1982,36.18%,0.1630892826119,AUTO,N/A,"09:31:01 ET"
XOM,150.07,Put,150,2026-02-27T16:30:00-06:00,7,"2.27 x 107","2.27 x 285",2.27,285,ask,64600,307,1365,28.93%,-0.4857176798,AUTO,N/A,"09:31:01 ET"
USAR,17.95,Put,18.5,2026-02-20T16:30:00-06:00,0,"0.70 x 304","0.85 x 200",0.85,200,ask,17000,222,572,100.44%,-0.7091755267,AUTO,N/A,"09:31:01 ET"
WMT,122.565,Put,125,2026-02-20T16:30:00-06:00,0,"2.17 x 75","2.28 x 375",2.28,375,ask,85400,2796,11863,32.16%,-0.8787939926,AUTO,N/A,"09:31:01 ET"
HBM,24.29,Call,25,2026-11-20T16:30:00-06:00,273,"4.70 x 1050","5.30 x 40",5.3,400,ask,212000,494,104,64.43%,0.60731112580241,AUTO,BuyToOpen,"09:31:01 ET"
MU,422.78,Call,395,2026-02-20T16:30:00-06:00,0,"24.00 x 122","27.00 x 6",25.78,500,mid,1289000,507,2124,102.34%,0.90431376207278,MLET,N/A,"09:31:01 ET"
